# y+ ()         
# Time          	patch           	min             	max             	average         
1.805           	airfoil	1.39036514e-04	5.42409270e-03	2.18597008e-03
1.81            	airfoil	1.34342503e-04	5.42162344e-03	2.18703161e-03
1.815           	airfoil	1.28118651e-04	5.41880429e-03	2.18799685e-03
1.82            	airfoil	1.21526660e-04	5.41581411e-03	2.18890034e-03
1.825           	airfoil	1.14484776e-04	5.41274067e-03	2.18977040e-03
1.83            	airfoil	1.06895013e-04	5.40962413e-03	2.19062408e-03
1.835           	airfoil	9.86180347e-05	5.40648248e-03	2.19146944e-03
1.84            	airfoil	8.94487056e-05	5.40332376e-03	2.19230808e-03
1.845           	airfoil	7.90722760e-05	5.40015203e-03	2.19313632e-03
1.85            	airfoil	6.69201189e-05	5.39696946e-03	2.19395310e-03
1.855           	airfoil	5.17430045e-05	5.39377752e-03	2.19475345e-03
1.86            	airfoil	2.91240692e-05	5.39057735e-03	2.19553203e-03
